business_legal_name,business_phone,city_account_number,city_state_zip,license_start_date,naics_code,naics_description,ownership_type,state,street_address,trade_name,ubi,zip
STARBUCKS CORPORATION,206-318-8705,0001054440623004,SEATTLE,2009-02-05T00:00:00.000,722515,Snack and Nonalcoholic Beverage Bars,Corporation,WA,102 PIKE ST,STARBUCKS COFFEE   14870,6006111090010413,98101
STARBUCKS CORPORATION,206-318-8705,0001054440575236,SEATTLE,2004-04-15T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,1101 ALASKAN WAY,STARBUCKS COFFEE   2937,6006111090010338,98101
STARBUCKS CORPORATION,206-767-5054,0001054440106267,SEATTLE,1989-01-01T00:00:00.000,722515,Snack and Nonalcoholic Beverage Bars,Corporation,WA,1912 PIKE PL,STARBUCKS COFFEE   301,6006111090010044,98101
STARBUCKS CORPORATION,206-522-5228,0001054440106268,SEATTLE,1989-01-01T00:00:00.000,722515,Snack and Nonalcoholic Beverage Bars,Corporation,WA,4634 26TH AVE NE,STARBUCKS COFFEE   302,600611109,98105
STARBUCKS CORPORATION,206-767-5054,0001054440106265,SEATTLE,1989-01-01T00:00:00.000,722515,Snack and Nonalcoholic Beverage Bars,Corporation,WA,101  BROADWAY E #,STARBUCKS COFFEE   304,6006111090010165,98102-6067
STARBUCKS CORPORATION,206-545-6945,0001054440106275,SEATTLE,1989-04-29T00:00:00.000,722515,Snack and Nonalcoholic Beverage Bars,Corporation,WA,2135 QUEEN ANNE AVE N,STARBUCKS COFFEE   314,6006111090010140,98119
STARBUCKS CORPORATION,206-447-1575,0001054440106301,SEATTLE,1993-08-14T00:00:00.000,445299,All Other Specialty Food Stores,Corporation,WA,6501 CALIFORNIA AVE SW,STARBUCKS COFFEE   3202,6006111090010139,98136
STARBUCKS CORPORATION,206-728-4077,0001054440106302,SEATTLE,1995-09-16T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,305 HARRISON ST # 220,STARBUCKS COFFEE   3204,6006111090010131,98109
STARBUCKS CORPORATION,206-447-1575,0001054440106303,SEATTLE,1996-06-01T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,316 N 67TH ST,STARBUCKS COFFEE   3211,6006111090010143,98103
STARBUCKS CORPORATION,206-447-1575,0001054440529369,SEATTLE,1999-07-16T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,2326 1ST AVE,STARBUCKS COFFEE   3218,6006111090010210,98121
STARBUCKS CORPORATION,206-447-1575,0001054440512889,SEATTLE,1997-07-26T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,2300 S JACKSON ST #A,STARBUCKS COFFEE   3231,6006111090010170,98144
STARBUCKS CORPORATION,206-447-1575,0001054440106269,SEATTLE,1997-12-20T00:00:00.000,722515,Snack and Nonalcoholic Beverage Bars,Corporation,WA,301 NE NORTHGATE WAY # 450,STARBUCKS COFFEE   3237,6006111090010171,98125
STARBUCKS CORPORATION,206-447-1575,0001054440534710,SEATTLE,1999-12-10T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,6400 ROOSEVELT WAY NE,STARBUCKS COFFEE   3248,6006111090010219,98115
STARBUCKS CORPORATION,206-447-1575,0001054440521256,SEATTLE,1998-10-28T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,600 PINE ST,STARBUCKS COFFEE   3261,6006111090010187,98101
STARBUCKS CORPORATION,206-447-1575,0001054440532339,SEATTLE,1999-09-25T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,1420 5TH AVE #226,STARBUCKS COFFEE   3289,6006111090010214,98101
STARBUCKS CORPORATION,206-447-1575,0001054440535140,SEATTLE,2000-01-04T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,4400 11TH AVE NW,STARBUCKS COFFEE   3294,6006111090010222,98107
STARBUCKS CORPORATION,206-447-1575,0001054440534709,SEATTLE,1999-12-01T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,211 LENORA ST,STARBUCKS COFFEE   3296,6006111090010220,98121
STARBUCKS CORPORATION,206-318-8705,0001054440538210,SEATTLE,2000-05-27T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,14359 15TH AVE NE,STARBUCKS COFFEE   3297,6006111090010231,98125
STARBUCKS CORPORATION,206-318-8705,0001054440541986,SEATTLE,2000-10-14T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,13027 AURORA AVE N,STARBUCKS COFFEE   3300,6006111090010251,98133
STARBUCKS CORPORATION,206-318-8705,0001054440536671,SEATTLE,2000-04-01T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,2921 M L KING JR WAY S,STARBUCKS COFFEE   3302,6006111090010227,98144
STARBUCKS CORPORATION,206-447-1575,0001054440534708,SEATTLE,1999-12-02T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,2742 ALKI AVE SW,STARBUCKS COFFEE   3306,6006111090010306,98116
STARBUCKS CORPORATION,206-318-8705,0001054440541192,SEATTLE,2000-09-16T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,505 5TH AVE S #120,STARBUCKS COFFEE   3307,6006111090010246,98104
STARBUCKS CORPORATION,206-318-8705,0001054440539727,SEATTLE,2000-07-29T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,800 12TH AVE,STARBUCKS COFFEE   3324,6006111090010240,98122
STARBUCKS CORPORATION,206-318-8705,0001054440552470,SEATTLE,2001-11-21T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,400 PINE ST ST,STARBUCKS COFFEE   3343A,6006111090010290,98101
STARBUCKS CORPORATION,206-318-8705,0001054440545375,SEATTLE,2001-02-17T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,9999 HOLMAN RD NW,STARBUCKS COFFEE   3346,6006111090010266,98117
STARBUCKS CORPORATION,206-318-8705,0001054440543751,SEATTLE,2001-01-01T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,999 3RD AVE,STARBUCKS COFFEE   3347,6006111090010260,98104
STARBUCKS CORPORATION,206-318-8705,0001054440552476,SEATTLE,2002-01-12T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,425 QUEEN ANNE AVE N,STARBUCKS COFFEE   3355,6006111090010289,98109
STARBUCKS CORPORATION,206-548-9507,0001054440106287,SEATTLE,1991-10-18T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,2110 N 45TH ST,STARBUCKS COFFEE   336,6006111090010067,98103
STARBUCKS CORPORATION,206-318-8705,0001054440551168,SEATTLE,2001-10-19T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,400 OCCIDENTAL S,STARBUCKS COFFEE   3362,6006111090010283,98104
STARBUCKS CORPORATION,206-318-8705,0001054440550078,SEATTLE,2001-09-28T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,2143 N NORTHGATE WAY,STARBUCKS COFFEE   3363,6006111090010280,98133
STARBUCKS CORPORATION,206-318-8705,0001054440554644,SEATTLE,2002-04-18T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,9023 25TH AVE SW,STARBUCKS COFFEE   3376,6006111090010294,98106
STARBUCKS CORPORATION,206-318-0705,0001054440571516,SEATTLE,2003-11-26T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,1700 7TH AVE,STARBUCKS COFFEE   3379,6006111090010326,98101
STARBUCKS CORPORATION,206-318-8705,0001054440559997,SEATTLE,2002-11-20T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,811 1ST AVE S,STARBUCKS COFFEE   3391,6006111090010487,98104
STARBUCKS CORPORATION,206-318-8705,0001054440565088,SEATTLE,2003-05-22T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,601 S MICHIGAN ST,STARBUCKS COFFEE   3408,6006111090010315,98108-2634
STARBUCKS CORPORATION,206-318-8705,0001054440577135,SEATTLE,2004-08-13T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,2352 EASTLAKE AVE E,STARBUCKS COFFEE   3448,6006111090010343,98102
STARBUCKS CORPORATION,206-367-6651,0001054440106288,SEATTLE,1992-12-15T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,540 NE NORTHGATE WAY,STARBUCKS COFFEE   358,6006111090010077,98125
STARBUCKS CORPORATION,206-447-1576,0001054440106290,SEATTLE,1993-05-01T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,102 1ST AVE S,STARBUCKS COFFEE   363,6006111090010085,98104
STARBUCKS CORPORATION,206-767-5054,0001054440106291,SEATTLE,1993-08-15T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,3401 FREMONT AVE N # B,STARBUCKS COFFEE   370,6006111090010121,98103-8866
STARBUCKS CORPORATION,206-447-1575,0001054440106300,SEATTLE,1993-08-14T00:00:00.000,445299,All Other Specialty Food Stores,Corporation,WA,7100 E GREEN LAKE DR N,STARBUCKS COFFEE   389,6006111090010167,98115
STARBUCKS CORPORATION,206-447-1575,0001054440106298,SEATTLE,1995-01-01T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,1125 4TH AVE,STARBUCKS COFFEE   392,6006111090010126,98101
STARBUCKS CORPORATION,206-318-8709,0001054440577980,SEATTLE,2004-09-30T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,4147 UNIVERSITY WAY NE,STARBUCKS COFFEE   7941,6006111090010347,98105
STARBUCKS CORPORATION,206-318-8705,0001054440637788,SEATTLE,2010-06-15T00:00:00.000,722515,Snack and Nonalcoholic Beverage Bars,Corporation,WA,4800 SAND POINT WAY NE,STARBUCKS COFFEE   8068,6006111090010484,98105
STARBUCKS CORPORATION,206-318-8705,0001054440586981,SEATTLE,2005-08-05T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,14330 LAKE CITY WAY NE,STARBUCKS COFFEE   8777,6006111090010375,98125
STARBUCKS CORPORATION,206-318-8705,0001054440637786,SEATTLE,2010-06-15T00:00:00.000,722515,Snack and Nonalcoholic Beverage Bars,Corporation,WA,4800 SAND POINT WAY NE,STARBUCKS COFFEE   8890 KIOSK,6006111090010512,98105
STARBUCKS CORPORATION,206-318-8705,0001054440586069,SEATTLE,2005-07-08T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,1423 3RD AVE,STARBUCKS COFFEE   9408,6006111090010372,98101
STARBUCKS CORPORATION,206-318-8705,0001054440579427,SEATTLE,2004-11-25T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,1414 ELLIOTT AVE W,STARBUCKS COFFEE   9447,6006111090010352,98119
STARBUCKS CORPORATION,206-767-5054,0001054440106271,SEATTLE,1989-01-01T00:00:00.000,722515,Snack and Nonalcoholic Beverage Bars,Corporation,WA,701 5TH AVE # 1 FL,STARBUCKS COFFEE  101,6006111090010026,98104
STARBUCKS CORPORATION,206-447-1575,0001054440106278,SEATTLE,1990-01-01T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,1730 MINOR AVE # STE 150,STARBUCKS COFFEE  104,6006111090010009,98101-1474
STARBUCKS CORPORATION,206-447-1575,0001054440106284,SEATTLE,1990-02-07T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,1420 5TH AVE,STARBUCKS COFFEE  109,6006111090010096,98101
STARBUCKS CORPORATION,206-622-5789,0001054440106263,SEATTLE,1989-01-01T00:00:00.000,722515,Snack and Nonalcoholic Beverage Bars,Corporation,WA,700 5TH AVE,STARBUCKS COFFEE  111,6006111090010020,98104
STARBUCKS CORPORATION,206-318-4994,0001054440653099,SEATTLE,2012-02-12T00:00:00.000,722515,Snack and Nonalcoholic Beverage Bars,Corporation,WA,2001 8TH AVE,STARBUCKS COFFEE  13011,6006111090010496,98121-2615
STARBUCKS CORPORATION,206-318-8705,0001054440644577,SEATTLE,2011-03-01T00:00:00.000,722515,Snack and Nonalcoholic Beverage Bars,Corporation,WA,2401 UTAH AVE S # 8TH FL,STARBUCKS COFFEE  15253,6006111090010489,98134
STARBUCKS CORPORATION,206-318-4994,0001054440657457,SEATTLE,2012-06-29T00:00:00.000,445299,All Other Specialty Food Stores,Corporation,WA,1201 3RD AVE # 2780,STARBUCKS COFFEE  15719,6006111090010498,98101-3029
STARBUCKS CORPORATION,206-318-8705,0001054440657523,SEATTLE,2012-06-29T00:00:00.000,445299,All Other Specialty Food Stores,Corporation,WA,800 5TH AVE,STARBUCKS COFFEE  16741,6006111090010501,98104
STARBUCKS CORPORATION,206-318-4994,0001054440667233,SEATTLE,2013-04-23T00:00:00.000,722515,Snack and Nonalcoholic Beverage Bars,Corporation,WA,4500 40TH AVE NE,STARBUCKS COFFEE  18871,6006111090010510,98105-3902
STARBUCKS CORPORATION,206-318-4994,0001054440668402,SEATTLE,2013-05-31T00:00:00.000,445299,All Other Specialty Food Stores,Corporation,WA,824 E PIKE ST,STARBUCKS COFFEE  19468,6006111090010509,98122-3815
STARBUCKS CORPORATION,206-318-4994,0001054440680439,SEATTLE,2014-05-09T00:00:00.000,445299,All Other Specialty Food Stores,Corporation,WA,8301 AURORA AVE N,STARBUCKS COFFEE  19475,6006111090010527,98103-4355
STARBUCKS CORPORATION,206-318-4994,0001054440671030,SEATTLE,2013-09-02T00:00:00.000,445299,All Other Specialty Food Stores,Corporation,WA,5221 15TH AVE NW,STARBUCKS COFFEE  19991,6006111090010519,98107-3806
STARBUCKS CORPORATION,206-318-8705,0001054440569131,SEATTLE,2003-09-25T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,1200 WESTLAKE AVE N,STARBUCKS COFFEE  2810,6006111090010323,98109
STARBUCKS CORPORATION,206-318-8705,0001054440587737,SEATTLE,2005-07-15T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,7301 35TH AVE NE,STARBUCKS COFFEE  2958,6006111090010376,98115
STARBUCKS CORPORATION,206-767-5054,0001054440106270,SEATTLE,1989-01-01T00:00:00.000,722515,Snack and Nonalcoholic Beverage Bars,Corporation,WA,4555 UNIVERSITY WAY NE,STARBUCKS COFFEE  305,6006111090010041,98105
STARBUCKS CORPORATION,206-447-1575,0001054440516264,SEATTLE,1998-04-25T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,121 LAKESIDE AVE,STARBUCKS COFFEE  3238,6006111090010173,98122
STARBUCKS CORPORATION,204-318-8705,0001054440643575,SEATTLE,2011-01-24T00:00:00.000,722515,Snack and Nonalcoholic Beverage Bars,Corporation,WA,4824 RAINIER AVE S,STARBUCKS COFFEE  3277,6006111090010204,98118-1718
STARBUCKS CORPORATION,206-318-8705,0001054440536673,SEATTLE,2000-03-25T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,1191 2ND AVE,STARBUCKS COFFEE  3312,6006111090010226,98101
STARBUCKS CORPORATION,206-447-1575,0001054440106285,SEATTLE,1991-01-01T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,4101 SW ADMIRAL WAY,STARBUCKS COFFEE  339,6006111090010005,98116
STARBUCKS CORPORATION,206-318-8705,0001054440565089,SEATTLE,2003-05-08T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,2650 NE 49TH ST,STARBUCKS COFFEE  3394,6006111090010313,98105
STARBUCKS CORPORATION,206-318-8705,0001054440709757,SEATTLE,2016-08-20T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,515 WESTLAKE AVE N,STARBUCKS COFFEE 23730,6006111090010559,98109-4304
STARBUCKS CORPORATION,206-318-4994,0001054440696656,SEATTLE,2015-08-07T00:00:00.000,722515,Snack and Nonalcoholic Beverage Bars,Corporation,WA,2601 ELLIOTT AVE,STARBUCKS COFFEE 23868,6006111090010542,98121-1399
STARBUCKS CORPORATION,206-318-4994,0001054440699089,SEATTLE,2015-09-30T00:00:00.000,722515,Snack and Nonalcoholic Beverage Bars,Corporation,WA,2011 7TH AVE # R2,STARBUCKS COFFEE 25577,6006111090010544,98121-2601
STARBUCKS CORPORATION,206-318-4994,0001054440722942,SEATTLE,2017-08-02T00:00:00.000,445299,All Other Specialty Food Stores,Corporation,WA,1520 SW 100TH ST,STARBUCKS COFFEE 49009,600611109,98146-3742
HERKIMER COFFEE LLC,206-784-0202,0005596690564612,SEATTLE,2003-04-01T00:00:00.000,311920,Coffee and Tea Manufacturing,LLC - Multi Member,WA,7320 GREENWOOD AVE N,HERKIMER COFFEE,6022675370010001,98103
HERKIMER COFFEE LLC,206-784-0202,0005596690690256,SEATTLE,2014-01-02T00:00:00.000,311920,Coffee and Tea Manufacturing,LLC - Multi Member,WA,901 DEXTER AVE N,HERKIMER COFFEE,602267537,98109
HERKIMER COFFEE LLC,206-525-5070,0005596690669890,SEATTLE,2013-01-01T00:00:00.000,311920,Coffee and Tea Manufacturing,LLC - Multi Member,WA,5611 UNIVERSITY WAY NE,HERKIMER COFFEE LLC,602267537,98105
ZOKA COFFEE COMPANY LLC,206-217-5519,0007177750626416,SEATTLE,2009-01-07T00:00:00.000,722515,Snack and Nonalcoholic Beverage Bars,LLC - Multi Member,WA,1220 W NICKERSON ST,ZOKA COFFEE COMPANY LLC,6028880930010001,98119
ZOKA COFFEE COMPANY LLC,206-217-5519,0007177750626418,SEATTLE,2009-01-07T00:00:00.000,722515,Snack and Nonalcoholic Beverage Bars,LLC - Multi Member,WA,2200 N 56TH ST,ZOKA COFFEE COMPANY LLC,602888093,98103
ZOKA COFFEE COMPANY LLC,206-217-5519,0007177750626419,SEATTLE,2009-01-07T00:00:00.000,722515,Snack and Nonalcoholic Beverage Bars,LLC - Multi Member,WA,2901 NE BLAKELEY ST,ZOKA COFFEE COMPANY LLC,602888093,98105
SCRUBLUNA LLC,206-557-7357,0007601390671394,SEATTLE,2013-07-19T00:00:00.000,722513,Limited-Service Restaurants,LLC - Multi Member,WA,4401 FREMONT AVE N,VIF WINE COFFEE,6031862140010001,98103-7225
LIGHTHOUSE ROASTERS INC,425-557-9300,0001574920159629,SEATTLE,1993-06-01T00:00:00.000,311920,Coffee and Tea Manufacturing,Corporation,WA,400 N 43RD ST,LIGHTHOUSE ROASTERS INC,6014671030010001,98103
NINE ELMS INC,206-992-6296,0007347710644531,SEATTLE,2011-04-01T00:00:00.000,722515,Snack and Nonalcoholic Beverage Bars,Corporation,WA,754 N 34TH ST,MILSTEAD & COMPANY,6030668770010002,98103-8801
JPK CORP,206-282-5313,0001688750171219,SEATTLE,1994-07-01T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,2205 QUEEN ANNE AVE N,CAFFE LADRO,6015417610010001,98109
JPK CORP,206-282-6852,0001688750511379,SEATTLE,1997-11-01T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,600 QUEEN ANNE AVE N # 118,CAFFE LADRO,6015417610010002,98109-4012
JPK CORP,206-678-0854,0001688750543925,SEATTLE,2000-05-31T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,452 N 36TH ST,CAFFE LADRO,6015417610010004,98103-8631
JPK CORP,206-938-8021,0001688750543924,SEATTLE,2000-08-01T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,7011 CALIFORNIA AVE SW,CAFFE LADRO,6015417610010003,98136-1954
JPK CORP,206-634-1356,0001688750543926,SEATTLE,2000-12-01T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,801 PINE ST,CAFFE LADRO,6015417610010005,98101-1811
JPK CORP,206-267-0551,0001688750557377,SEATTLE,2002-01-01T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,435 15TH AVE E,CAFFE LADRO,6015417610010006,98112-4504
JPK CORP,206-634-1356,0001688750557379,SEATTLE,2002-03-01T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,108 UNION ST,CAFFE LADRO,6015417610010007,98101-2012
JPK CORP,206-634-1356,0001688750668634,SEATTLE,2013-06-03T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,1800 9TH AVE # 130,CAFFE LADRO,6015417610010014,98101-1322
JPK CORP,206-634-1356,0001688750652870,SEATTLE,2011-12-14T00:00:00.000,722515,Snack and Nonalcoholic Beverage Bars,Corporation,WA,501 2ND AVE W # 200,CAFFE LADRO,6015417610010009,98119-3983
JPK CORP,206-906-9334,0001688750703588,SEATTLE,2016-01-18T00:00:00.000,722515,Snack and Nonalcoholic Beverage Bars,Corporation,WA,400 FAIRVIEW AVE N # 101,CAFFE LADRO,6015417610010015,98109-5370
ESPRESSO VIVACE INC,206-860-5869,0001224020586311,SEATTLE,2005-01-01T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,1141 BROADWAY CT,ESPRESSO VIVACE,601239419,98122-4207
ESPRESSO VIVACE INC,206-860-5869,0001224020123725,SEATTLE,1990-04-01T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,532 BROADWAY AVE E,ESPRESSO VIVACE INC,6012394190010001,98122
ESPRESSO VIVACE INC,206-963-5958,0001224020123726,SEATTLE,1991-01-01T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,321 BROADWAY E,ESPRESSO VIVACE INC,601239419,98102
ESPRESSO VIVACE INC,206-860-5864,0001224020596659,SEATTLE,2006-03-15T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,227 YALE AVE N,ESPRESSO VIVACE INC,6012394190010004,98109
LA MARZOCCO EXPERIENCE LLC,206-706-9104,0007892310701733,SEATTLE,2015-10-13T00:00:00.000,453220,"Gift, Novelty, and Souvenir Stores",LLC - Multi Member,WA,472 1ST AVE # 100,LA MARZOCCO EXPERIENCE LLC,6035503950010001,98109
EXPLORATION TEAM LLC,206-661-4794,0007341060643816,SEATTLE,2011-01-29T00:00:00.000,722515,Snack and Nonalcoholic Beverage Bars,LLC - Multi Member,WA,235 SUMMIT AVE E,ANALOG COFFEE,6029624510010001,98102-5618
HEY HANDSOME LLC,206-962-1619,0007869890699415,SEATTLE,2015-09-01T00:00:00.000,722513,Limited-Service Restaurants,LLC - Multi Member,WA,720 OLIVE WAY # 103,8TH & OLIVE  MR WEST,6035196820010001,98101-1878
MR WEST UVILLAGE LLC,206-962-1619,0008399890754718,SEATTLE,2019-07-24T00:00:00.000,722511,Full-Service Restaurants,Other,WA,2685 NE VILLAGE LN,MR WEST CAFE BAR,6043033380010001,98105-5029
VIBE COFFEE GROUP INC,425-322-4524,0007027180738691,SEATTLE,2018-05-11T00:00:00.000,722410,Drinking Places (Alcoholic Beverages),Corporation,WA,3215 BEACON AVE,VICTROLA COFFEE,6014609870010002,98144
VIBE COFFEE GROUP INC,425-322-4524,0007027180738692,SEATTLE,2018-05-24T00:00:00.000,722410,Drinking Places (Alcoholic Beverages),Corporation,WA,300 PINE ST # 5,VICTROLA COFFEE,6014609870010003,98124
VIBE COFFEE GROUP INC,360-331-8121,0007027180610231,SEATTLE,2007-11-30T00:00:00.000,722410,Drinking Places (Alcoholic Beverages),Corporation,WA,310 E PIKE ST,VICTROLA COFFEE ROASTERS,6014609870010014,98122-3610
VIBE COFFEE GROUP INC,360-331-8121,0007027180610230,SEATTLE,2008-02-01T00:00:00.000,722410,Drinking Places (Alcoholic Beverages),Corporation,WA,411 15TH AVE E,VICTROLA COFFEE ROASTERS,6014609870010001,98112-4504
CAFFE VITA INC,206-709-4440,0005674020572820,SEATTLE,2004-01-01T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,1005 E PIKE ST,CAFFE VITA COFFEE ROASTING CO,6023502820010001,98122-3818
CAFFE VITA INC,206-285-9662,0005674020572824,SEATTLE,2004-01-01T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,813 5TH AVE N,CAFFE VITA COFFEE ROASTING CO,6023502820010002,98109-3907
CAFFE VITA INC,206-709-4440,0005674020612451,SEATTLE,2007-07-01T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,4301 FREMONT AVE N,CAFFE VITA COFFEE ROASTING CO,6023502820010004,98103-7223
CAFFE VITA INC,206-709-4440,0005674020612449,SEATTLE,2007-07-01T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,5028 WILSON AVE S,CAFFE VITA COFFEE ROASTING CO,6023502820010005,98118-2085
CAFFE VITA INC,206-709-4440,0005674020663641,SEATTLE,2011-01-01T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,125 PREFONTAINE PL S,CAFFE VITA INC,6023502820010003,98104-2672
CAFFE VITA INC,206-709-4440,0005674020663640,SEATTLE,2011-02-13T00:00:00.000,722513,Limited-Service Restaurants,Corporation,WA,7402 GREENWOOD AVE N,CAFFE VITA INC,6023502820010007,98103-5044
